Time,Data
0 sec,30.6697714850944
0.001 sec,29.2589457634314
0.002 sec,30.121811722262
0.003 sec,34.2661204690201
0.004 sec,36.408503144474
0.005 sec,38.8572974514804
0.006 sec,38.2717722533281
0.007 sec,39.0382294370821
0.008 sec,42.6361226473843
0.009 sec,42.264453741108
0.01 sec,42.811974794427
0.011 sec,42.1114795018075
0.012 sec,39.3924071798905
0.013 sec,39.7942361244972
0.014 sec,37.2316098415913
0.015 sec,34.3476009609509
0.016 sec,43.7395315831722
0.017 sec,40.5442635447786
0.018 sec,40.2254553511491
0.019 sec,40.9969629856625
0.02 sec,38.0617345520186
0.021 sec,38.2088219756802
0.022 sec,34.5782720323239
0.023 sec,32.5412945456319
0.024 sec,34.0350203305046
0.025 sec,35.9044773647505
0.026 sec,37.9321242939381
0.027 sec,39.2797831375883
0.028 sec,39.047352025906
0.029 sec,40.829840374784
0.03 sec,41.6885458785758
0.031 sec,40.6122800533659
0.032 sec,40.9835581332969
0.033 sec,40.2568396203463
0.034 sec,37.7012662259994
0.035 sec,35.5356110577363
0.036 sec,34.7805738318358
0.037 sec,30.1788297453427
0.038 sec,34.9831798677842
0.039 sec,35.6944451474158
0.04 sec,34.8572753705516
0.041 sec,32.0291480425852
0.042 sec,32.1279424625433
0.043 sec,29.0931517964772
0.044 sec,26.698132650265
0.045 sec,28.2814197885981
0.046 sec,30.2041617515282
0.047 sec,32.0017756648949
0.048 sec,32.464219845898
0.049 sec,35.2038054004312
0.05 sec,34.7969286366023
0.051 sec,35.0583181932738
0.052 sec,34.6852127695542
0.053 sec,35.5048811122957
0.054 sec,33.2663561337266
0.055 sec,33.2902514456523
0.056 sec,29.7565559741136
0.057 sec,28.0364618063374
0.058 sec,36.4177416273636
0.059 sec,36.9644353928915
0.06 sec,35.493469456564
0.061 sec,32.523494525463
0.062 sec,33.0048263359834
0.063 sec,32.4378275961212
0.064 sec,29.0186446201609
0.065 sec,30.3909068250133
0.066 sec,34.5496196163076
0.067 sec,35.8212509419668
0.068 sec,37.4617006621602
0.069 sec,38.9488783004757
0.07 sec,38.7537400064538
0.071 sec,39.3163033320089
0.072 sec,42.6921853431317
0.073 sec,40.6777764800861
0.074 sec,41.6284363585153
0.075 sec,40.4873753035056
0.076 sec,38.0736792677466
0.077 sec,35.3060119190873
0.078 sec,32.3299519079906
0.079 sec,40.9775760678775
0.08 sec,40.7749541521386
0.081 sec,39.7047922345166
0.082 sec,37.9483617806693
0.083 sec,36.0328389089036
0.084 sec,36.4472426813521
0.085 sec,35.3831698373696
0.086 sec,31.7412944872636
0.087 sec,33.8746669349402
0.088 sec,35.7345074736648
0.089 sec,36.5445868658855
0.09 sec,37.1560287728548
0.091 sec,40.4164884447537
0.092 sec,40.4141030449018
0.093 sec,41.698147670805
0.094 sec,41.9042502669728
0.095 sec,41.4140251086286
0.096 sec,40.1884581686851
0.097 sec,38.5645576652266
0.098 sec,37.6276992416481
0.099 sec,32.8976596985322
0.1 sec,31.8302843693666
0.101 sec,35.9594112745777
0.102 sec,34.8292431101879
0.103 sec,33.9570708562707
0.104 sec,34.3970684052929
0.105 sec,29.8022136116337
0.106 sec,29.6388398115728
0.107 sec,27.2239214748167
0.108 sec,27.4339455291442
0.109 sec,29.8967931024072
0.11 sec,32.4951782400585
0.111 sec,33.0290012110649
0.112 sec,37.8267187944023
0.113 sec,36.0085159947793
0.114 sec,38.0278857208746
0.115 sec,34.4216260587408
0.116 sec,34.907436503735
0.117 sec,32.9463068383859
0.118 sec,31.9842126221664
0.119 sec,29.7247155332763
0.12 sec,28.8571645939276
0.121 sec,37.2281951711208
0.122 sec,34.0318136686616
0.123 sec,33.401548493038
0.124 sec,32.7723611618148
0.125 sec,31.89059305058
0.126 sec,29.4711068375932
0.127 sec,29.6260673851257
0.128 sec,30.9870180849199
0.129 sec,36.3212526417884
0.13 sec,36.307813313006
0.131 sec,37.9815388829771
0.132 sec,37.9191549839677
0.133 sec,40.8311661024671
0.134 sec,41.3804750460443
0.135 sec,41.4364978634757
0.136 sec,40.3362657592988
0.137 sec,39.6713311090543
0.138 sec,38.1136972034483
0.139 sec,38.6528091692199
0.14 sec,34.2798945621988
0.141 sec,32.4377711802239
0.142 sec,39.9567309545523
0.143 sec,41.5730929552193
0.144 sec,41.6401613528466
0.145 sec,36.8371750897118
0.146 sec,38.3486024166006
0.147 sec,36.359705169619
0.148 sec,34.6859018270014
0.149 sec,30.598302087979
0.15 sec,33.0236905502041
0.151 sec,37.2449249699895
0.152 sec,37.9917764442881
0.153 sec,38.6298639252855
0.154 sec,41.1880562374415
0.155 sec,39.78234793249
0.156 sec,41.0498189916438
0.157 sec,41.638887650371
0.158 sec,41.6712246084583
0.159 sec,40.9824605867941
0.16 sec,37.3916548916408
0.161 sec,34.7035648678701
0.162 sec,32.781831170019
0.163 sec,29.612564577468
0.164 sec,35.8465630477516
0.165 sec,35.1311938262168
0.166 sec,32.8918949910107
0.167 sec,31.6968688976161
0.168 sec,30.7951071685136
0.169 sec,29.7277016752078
0.17 sec,27.4351246273004
0.171 sec,28.8925614267519
0.172 sec,30.2531495368942
0.173 sec,34.1835710339834
0.174 sec,35.0074933396996
0.175 sec,34.3918584494049
0.176 sec,37.2436386492276
0.177 sec,34.8740499082566
0.178 sec,35.438283280611
0.179 sec,36.8208255231606
0.18 sec,33.631126333591
0.181 sec,33.0745157932591
0.182 sec,29.2168356571032
0.183 sec,26.2752153334956
0.184 sec,35.8132615386667
0.185 sec,36.5740910247023
0.186 sec,34.4334080942018
0.187 sec,34.1104404431021
0.188 sec,33.2632450479869
0.189 sec,30.7329567534182
0.19 sec,30.2755307677725
0.191 sec,35.0489906927111
0.192 sec,34.2521431679721
0.193 sec,34.5417528024178
0.194 sec,38.5442755428422
0.195 sec,37.8926990740793
0.196 sec,42.0777477294137
0.197 sec,41.09473234929
0.198 sec,43.087094047833
0.199 sec,41.0575589380004
0.2 sec,40.1823824713548
0.201 sec,41.0752905081711
0.202 sec,38.9735213665734
0.203 sec,33.734182774457
0.204 sec,38.3734587090031
0.205 sec,41.761938740175
0.206 sec,38.5653928793048
0.207 sec,39.3375407756749
0.208 sec,39.3085480559909
0.209 sec,36.7805990525503
0.21 sec,36.3033960587176
0.211 sec,33.0385623140535
0.212 sec,32.9061635041321
0.213 sec,33.3855417162118
0.214 sec,36.2174731955204
0.215 sec,38.7635090794808
0.216 sec,41.8217884581803
0.217 sec,40.8603204524769
0.218 sec,41.5773416568725
0.219 sec,42.3893307369135
0.22 sec,39.9078426090349
0.221 sec,40.4335382959785
0.222 sec,38.5760141964676
0.223 sec,38.8570925570268
0.224 sec,34.2019296364072
0.225 sec,32.7320327993543
0.226 sec,34.3496477184595
0.227 sec,33.6069348651674
0.228 sec,35.0093090792024
0.229 sec,30.9982451957189
0.23 sec,30.8649633716672
0.231 sec,28.6332676310652
0.232 sec,27.4401985944833
0.233 sec,26.6317580996029
0.234 sec,30.7809925718565
0.235 sec,30.1257712370681
0.236 sec,32.8117493553935
0.237 sec,34.512679250517
0.238 sec,35.4787412172
0.239 sec,35.8155528915011
0.24 sec,37.0924409580052
0.241 sec,36.6957781818463
0.242 sec,35.2350170722067
0.243 sec,34.8356785628959
0.244 sec,30.6720392336919
0.245 sec,28.5331205621551
0.246 sec,35.5182769429948
0.247 sec,36.3245866725395
0.248 sec,35.7042443014692
0.249 sec,32.6170852342094
0.25 sec,34.01087869433
0.251 sec,29.7694563640274
0.252 sec,28.4780714154166
0.253 sec,29.6717979978265
0.254 sec,32.6363439856637
0.255 sec,35.2281429205149
0.256 sec,37.2332509076484
0.257 sec,37.8710045178019
0.258 sec,39.7138237268511
0.259 sec,41.9599547213947
0.26 sec,41.799005956597
0.261 sec,41.5747997060958
0.262 sec,39.9842105792868
0.263 sec,40.3398508188179
0.264 sec,40.0777890427039
0.265 sec,36.7988088311105
0.266 sec,34.3719977110014
0.267 sec,41.1541649298307
0.268 sec,40.882254886825
0.269 sec,41.729765724368
0.27 sec,40.4330809264229
0.271 sec,39.2556494432048
0.272 sec,36.7432489084096
0.273 sec,35.3773493164591
0.274 sec,31.994119727137
0.275 sec,33.8105162327238
0.276 sec,36.1859618849296
0.277 sec,37.8141647269539
0.278 sec,38.8405812275265
0.279 sec,41.061729113374
0.28 sec,41.371394514548
0.281 sec,41.516365609871
0.282 sec,42.4652084696417
0.283 sec,40.6979307941204
0.284 sec,37.282106876652
0.285 sec,39.7658358380369
0.286 sec,37.8287090549571
0.287 sec,34.7984910194895
0.288 sec,31.15611937217
0.289 sec,36.6910160338945
0.29 sec,34.7000111501704
0.291 sec,34.1908167985539
0.292 sec,33.5592855264358
0.293 sec,29.8241567479804
0.294 sec,28.5114851610902
0.295 sec,27.513050033714
0.296 sec,27.7501152883687
0.297 sec,29.3130213608655
0.298 sec,31.4820897764429
0.299 sec,33.8779261700979
0.3 sec,35.8785932024329
0.301 sec,36.1910540671244
0.302 sec,35.0803192751721
0.303 sec,36.4714433509147
0.304 sec,35.5157594458913
0.305 sec,34.7604512502811
0.306 sec,33.2686121210099
0.307 sec,31.3890882982914
0.308 sec,29.8890533267333
0.309 sec,36.5325810102106
0.31 sec,34.4937396930415
0.311 sec,35.6513048241563
0.312 sec,33.7146535777182
0.313 sec,31.6449705315965
0.314 sec,32.4254987043662
0.315 sec,28.6532220919216
0.316 sec,30.5224342892697
0.317 sec,34.1152429003392
0.318 sec,33.6283756801698
0.319 sec,36.8857997273154
0.32 sec,39.6461357575458
0.321 sec,40.2320812173589
0.322 sec,39.9028172856766
0.323 sec,41.5072779685642
0.324 sec,39.7168361530542
0.325 sec,42.4166588020994
0.326 sec,39.718081002071
0.327 sec,36.5826826946352
0.328 sec,35.9324851021892
0.329 sec,32.7350980263136
0.33 sec,41.2660536138538
0.331 sec,42.0754238197435
0.332 sec,40.4834353555926
0.333 sec,39.0565515568533
0.334 sec,38.8139898051541
0.335 sec,36.4464921560502
0.336 sec,32.3328008318269
0.337 sec,31.7816650749629
0.338 sec,34.8918654127906
0.339 sec,34.5872784621384
0.34 sec,37.0762545456548
0.341 sec,39.838210078638
0.342 sec,41.3727330461431
0.343 sec,39.5753212661446
0.344 sec,40.1594216673536
0.345 sec,40.2758339251153
0.346 sec,40.7361870895534
0.347 sec,38.7955597284104
0.348 sec,39.7519673697132
0.349 sec,36.7255184833223
0.35 sec,31.5435059674552
0.351 sec,30.2768707423606
0.352 sec,37.0384208342908
0.353 sec,34.4855687642398
0.354 sec,34.2227522993616
0.355 sec,32.9046968657133
0.356 sec,30.7612895162106
0.357 sec,28.5109745936318
0.358 sec,26.6458838523836
0.359 sec,25.6542033965547
0.36 sec,30.4797243805689
0.361 sec,33.661200592543
0.362 sec,33.176160414232
0.363 sec,34.2388239282027
0.364 sec,36.0210022483933
0.365 sec,35.2980593332284
0.366 sec,35.843995543071
0.367 sec,35.1712195294219
0.368 sec,34.4494001353286
0.369 sec,32.1757964796511
0.37 sec,30.5969949098984
0.371 sec,27.5141495523975
0.372 sec,36.5618444652463
0.373 sec,37.6385431810944
0.374 sec,35.0275918322006
0.375 sec,34.469358002987
0.376 sec,32.7508312647297
0.377 sec,30.5978351174933
0.378 sec,29.5964661204532
0.379 sec,32.8052772125079
0.38 sec,33.6834958872473
0.381 sec,36.422592881004
0.382 sec,37.7251139827078
0.383 sec,40.7483210908301
0.384 sec,40.9152639351145
0.385 sec,40.7693925921225
0.386 sec,40.1528749340173
0.387 sec,39.912945891293
0.388 sec,38.7202001056284
0.389 sec,39.0999967853288
0.39 sec,38.3115483139785
0.391 sec,34.9841347973171
0.392 sec,30.9095093309689
0.393 sec,42.0411186859164
0.394 sec,40.1306445637189
0.395 sec,40.5997408239174
0.396 sec,39.1671890213113
0.397 sec,35.24184434462
0.398 sec,34.8792426286646
0.399 sec,33.7016239883908
0.4 sec,31.3448900939884
0.401 sec,33.6211075804715
0.402 sec,37.809305446115
0.403 sec,37.2676200341165
0.404 sec,41.1934075184184
0.405 sec,41.5954740517611
0.406 sec,41.7370846502329
0.407 sec,43.2699642748686
0.408 sec,40.8400748395997
0.409 sec,40.4624112686547
0.41 sec,39.003982469278
0.411 sec,37.0492537354454
0.412 sec,35.2743781283193
0.413 sec,30.5812099496729
0.414 sec,38.3154484397127
0.415 sec,35.5843610872989
0.416 sec,34.6120060298247
0.417 sec,33.3665643160051
0.418 sec,30.8253668484237
0.419 sec,30.1987921926176
0.42 sec,28.479413669052
0.421 sec,27.1726688531319
0.422 sec,29.1711400037601
0.423 sec,29.7689165034688
0.424 sec,33.6352870578786
0.425 sec,34.2537311751731
0.426 sec,35.8159159501375
0.427 sec,35.6079967676069
0.428 sec,35.8957990630701
0.429 sec,34.7732076044528
0.43 sec,36.1385289804724
0.431 sec,32.3874258175779
0.432 sec,32.292157995482
0.433 sec,27.144308547856
0.434 sec,26.0461979756938
0.435 sec,36.7471306251681
0.436 sec,36.2476324143292
0.437 sec,36.7067598788413
0.438 sec,31.8367196839853
0.439 sec,32.1011068844787
0.44 sec,30.5258516051686
0.441 sec,31.318621827276
0.442 sec,32.3604279800855
0.443 sec,35.2450786400628
0.444 sec,36.0187447264522
0.445 sec,39.2491045056389
0.446 sec,39.9513898450662
0.447 sec,40.794673477038
0.448 sec,40.4556912615511
0.449 sec,41.0693098912151
0.45 sec,40.8177957949201
0.451 sec,40.1637254942227
0.452 sec,38.4135792460511
0.453 sec,34.6116835828518
0.454 sec,34.2929605550899
0.455 sec,42.8869762954133
0.456 sec,42.1986053313516
0.457 sec,40.7438035516132
0.458 sec,39.3067767006686
0.459 sec,38.5366403223239
0.46 sec,38.3433595336843
0.461 sec,36.0512826270869
0.462 sec,32.6447013574244
0.463 sec,31.8972067418949
0.464 sec,35.5609783824459
0.465 sec,36.9802204631859
0.466 sec,38.5533878133429
0.467 sec,40.4250620624547
0.468 sec,41.1211141589982
0.469 sec,41.2204930807389
0.47 sec,41.598374907379
0.471 sec,41.0735925452516
0.472 sec,41.1207163521181
0.473 sec,39.4770080753673
0.474 sec,36.9987937858649
0.475 sec,35.0798474595341
0.476 sec,30.9563793072878
0.477 sec,34.9723392132735
0.478 sec,35.4678422113986
0.479 sec,35.0486789218945
0.48 sec,32.6940449749486
0.481 sec,32.2773340954769
0.482 sec,28.0659384174454
0.483 sec,25.5646580512207
0.484 sec,26.1622657759708
0.485 sec,30.0120158479204
0.486 sec,32.2346294241337
0.487 sec,32.3931459121278
0.488 sec,35.6197672175547
0.489 sec,33.6017190555933
0.49 sec,38.0888115668881
0.491 sec,36.7698191528207
0.492 sec,36.0992415202962
0.493 sec,33.5206067912732
0.494 sec,34.7791810313322
0.495 sec,31.8124850828215
0.496 sec,28.3227344107862
0.497 sec,35.5568480418278
0.498 sec,33.9532059528085
0.499 sec,35.5191767220768
0.5 sec,34.8917098309089
0.501 sec,32.5556354506049
0.502 sec,31.0709509658444
0.503 sec,29.9451756204222
0.504 sec,32.9610477563023
0.505 sec,32.4367851166938
0.506 sec,36.4574688205343
0.507 sec,38.6964000260776
0.508 sec,38.9227322336643
0.509 sec,40.6803519275101
0.51 sec,38.9790986673032
0.511 sec,41.6150259020073
0.512 sec,41.592245550248
0.513 sec,40.466110021371
0.514 sec,38.7532102950106
0.515 sec,38.658935681046
0.516 sec,35.7764019262278
0.517 sec,31.8765797968256
0.518 sec,40.1688513903814
0.519 sec,42.8823801257383
0.52 sec,42.2554280409609
0.521 sec,38.5804908707894
0.522 sec,37.5490125570206
0.523 sec,36.7216623506813
0.524 sec,33.1999657517445
0.525 sec,32.0519210459495
0.526 sec,34.095162320094
0.527 sec,37.4658609847297
0.528 sec,36.8876768456039
0.529 sec,41.0997750159947
0.53 sec,39.779967646541
0.531 sec,40.9188762769508
0.532 sec,40.9466951142726
0.533 sec,39.5687236154079
0.534 sec,39.4420309584427
0.535 sec,39.3194840256947
0.536 sec,38.8159527439115
0.537 sec,33.8734678287999
0.538 sec,33.036779151994
0.539 sec,30.4754763953219
0.54 sec,35.7133382962353
0.541 sec,34.3981342507522
0.542 sec,33.5340370202202
0.543 sec,33.0061549450079
0.544 sec,29.7525007399486
0.545 sec,28.8633967989867
0.546 sec,24.8387176719885
0.547 sec,30.2522989324012
0.548 sec,30.1102783218439
0.549 sec,33.8919684480412
0.55 sec,33.2376023876165
0.551 sec,34.4814944662373
0.552 sec,35.3261759611647
0.553 sec,37.211418340173
0.554 sec,37.1896159993792
0.555 sec,36.2712738369484
0.556 sec,33.1981829048046
0.557 sec,31.0591172880059
0.558 sec,29.5840798972082
0.559 sec,26.3815151430885
0.56 sec,38.3402445303165
0.561 sec,35.8749999632398
0.562 sec,34.7536473241443
0.563 sec,33.9962719999887
0.564 sec,30.6613344960878
0.565 sec,28.5944065310259
0.566 sec,29.8997118709263
0.567 sec,33.361686807134
0.568 sec,35.1378889925928
0.569 sec,36.8853844924591
0.57 sec,37.0934567888454
0.571 sec,40.3332560322831
0.572 sec,42.8191182890907
0.573 sec,41.8105994564755
0.574 sec,42.1766670555699
0.575 sec,40.6437658822695
0.576 sec,41.7781285211523
0.577 sec,39.1884159918566
0.578 sec,36.1146872535785
0.579 sec,36.4099435481759
0.58 sec,33.8264741752048
0.581 sec,43.0346253847332
0.582 sec,41.9148528218516
0.583 sec,40.0611471025282
0.584 sec,40.7622030161351
0.585 sec,36.1223856290883
0.586 sec,36.284227221536
0.587 sec,33.7497491865326
0.588 sec,32.4213074808669
0.589 sec,34.9995300800457
0.59 sec,36.1234732147268
0.591 sec,37.0232052535603
0.592 sec,40.0479777064552
0.593 sec,42.9578132223079
0.594 sec,41.8139072896455
0.595 sec,42.000726381058
0.596 sec,41.2864632598187
0.597 sec,39.3023953414095
0.598 sec,40.1689413998682
0.599 sec,37.085732666245
